altitude (ft),Speed(mph)
700.4,13.048791
700.6,13.670162
700.8,13.670162
701.2,13.670162
701.4,14.912904
701.7,16.777017
701.8,18.64113
701.1,20.505243
700.1,22.369356
693.8,23.612098
686.6,24.233469
682.8,24.233469
683.2,23.612098
683.6,21.747985
689.2,19.262501
694.3,18.019759
699.8,18.019759
700.1,18.64113
700.4,20.505243
700.8,22.369356
700.6,23.612098
700.5,24.85484
699.8,26.097582
699.3,26.097582
697.8,27.340324
695.5,27.961695
693.2,29.204437
691.3,30.447179
689.9,31.689921
688.8,32.932663
687.6,34.796776
686.5,35.418147
685.6,36.660889
685.6,36.660889
686.1,36.660889
685.5,36.660889
684.6,36.660889
683.6,36.660889
682.7,37.28226
681.9,37.28226
681.1,37.28226
680.7,37.28226
680.2,37.28226
679.4,37.28226
679.1,36.660889
678.7,36.660889
678.3,36.660889
678,37.28226
677.6,37.903631
677.3,38.525002
677.4,38.525002
677.6,39.146373
677.9,39.146373
674,39.146373
668.7,39.146373
663.9,38.525002
671.5,38.525002
675.9,37.28226
675.4,32.932663
724.5,0
724.5,0
741.3,6.835081
741.5,2.485484
741.5,0
741.5,0
741.5,0
741.5,0
741.7,0.621371
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.7,0
741.8,0
741.8,0
741.8,0
741.8,0
741.8,0.621371
741.8,0
741.9,0.621371
741.9,0
741.9,0
741.9,0
741.9,0
741.9,0
741.9,0
741.9,0
741.9,0
741.9,0
741.9,0
741.9,0
741.9,0
741.9,0
741.9,0
741.9,0
742,1.242742
742,1.242742
742,0
742,0
742,0
742,0
742,0
742,0
742,0
742,0
742,0
742,0
742,0
742,0
742,0
742.1,0.621371
742.1,4.349597
742.2,8.077823
742.5,10.563307
742.8,12.42742
743,13.670162
742.9,14.912904
742.6,14.912904
742.2,16.155646
741.9,16.155646
741.2,16.777017
740.3,16.155646
739.8,11.184678
739.4,6.835081
739.3,2.485484
739.2,0.621371
739.2,0
739.2,0
739.2,0
739.1,0.621371
739,1.864113
738.9,2.485484
738.7,3.728226
738.6,3.106855
738.6,2.485484
738.5,1.864113
738.5,1.864113
738.5,1.864113
738.6,1.242742
738.6,1.242742
738.6,1.242742
738.6,1.242742
738.6,1.242742
738.7,0.621371
738.7,0.621371
738.7,0.621371
738.8,0.621371
738.8,0.621371
738.7,0.621371
738.8,0.621371
738.7,0.621371
738.7,0.621371
738.7,0.621371
738.6,1.242742
737.4,0.621371
684.2,1.864113
730,6.835081
743,18.019759
742.7,19.262501
742.3,21.747985
741.7,22.990727
740.5,22.990727
739.1,24.85484
738,29.825808
736.6,33.554034
734.2,34.796776
732.1,33.554034
729.9,33.554034
727.5,34.796776
725.2,34.796776
723.2,32.311292
721.3,31.06855
721,28.583066
721,26.097582
721,24.233469
723,21.747985
724.4,19.262501
726.7,18.019759
729.9,18.64113
731.5,20.505243
733.5,22.990727
735.3,21.747985
737,19.262501
737.6,16.777017
737.7,11.806049
737.8,8.699194
736.5,7.456452
736.6,8.699194
736.3,9.941936
736,9.941936
735.5,8.699194
735.5,8.699194
735.5,8.699194
735.3,8.699194
734.9,9.941936
734.8,8.699194
721.5,68.35081
696.3,27.340324
737.2,17.398388
738.9,16.155646
739.3,18.64113
739.9,18.019759
699.1,26.718953
721.5,22.369356
722.8,21.747985
724.1,21.747985
726.5,20.505243
729,19.262501
730.8,19.883872
732.8,19.883872
734.8,20.505243
736.9,22.369356
737.5,22.369356
737.6,21.747985
737.7,22.369356
736.6,22.369356
735.5,24.233469
733.9,22.990727
731.5,24.233469
728.8,22.369356
726.9,20.505243
724.7,19.883872
723.8,14.291533
