Altitude (ft),Speed (mph),Fuel (gal/hr)
482.9191,0,0
482.6343,0,0
482.5009,0,0.2048409
482.7605,0,0.2127532
482.9201,0,0.2127532
483.85,0,0.2153906
483.7707,0,0.2171489
483.9784,0,0.2487982
483.9583,0,0.2655019
491.0006,0,0.2725351
496.2379,0,0.2593479
496.2377,0,0.3147341
496.2332,0,0.2971512
496.2975,1.242742,0.3156132
497.1117,1.242742,0.3191298
498.2171,1.864114,0.2698977
499.3853,2.485485,0.2822057
499.5874,3.106856,0.2909971
500.5528,3.106856,0.2909971
501.2901,3.106856,0.2909971
501.3588,3.728227,0.2663811
501.3564,3.106856,0.2567105
501.1469,3.106856,0.2628645
509.8052,2.485485,0.2734143
501.1219,1.242742,0.2663811
498.2161,1.864114,0.7472737
499.4985,4.97097,0.8694749
495.8109,6.213712,0.9099156
494.7775,9.320568,1.222012
495.8884,10.56331,1.218496
496.0741,13.67017,1.079591
502.0604,15.53428,0.9943135
503.0511,16.77702,0.9881595
503.6316,17.39839,1.015413
503.7948,19.26251,0.5125418
497.0551,19.88388,0.5002338
494.9871,20.50525,0.5213333
494.2324,21.12662,0.5239707
491.6702,21.74799,0.5547408
487.9581,21.74799,0.5406744
489.5634,22.99073,0.5345204
482.3215,22.99073,0.5310039
471.0316,22.99073,0.3718785
466.8379,22.99073,0.3903406
462.0303,22.99073,0.4703428
460.9904,22.99073,0.465068
463.5905,22.99073,0.4342979
460.0353,22.99073,0.435177
464.0845,22.36936,0.4334187
457.1896,22.36936,0.4334187
446.7794,22.36936,0.5477076
447.3218,22.36936,0.6373805
442.5684,22.36936,0.6725463
443.2028,22.36936,0.6725463
442.5546,22.99073,0.6918875
435.3164,23.6121,0.6751837
437.0994,24.23348,0.6743046
432.4609,24.23348,0.6743046
435.9306,24.23348,0.676942
435.8525,25.47622,0.3894615
435.437,25.47622,0.4492433
434.3989,25.47622,0.4448476
435.0105,25.47622,0.4483642
433.6472,25.47622,0.4492433
433.8775,25.47622,0.5090252
439.5028,25.47622,0.5081461
440.2073,25.47622,0.5002338
439.0446,25.47622,0.5072669
439.3831,25.47622,0.5063878
437.7402,25.47622,0.5099044
435.6627,25.47622,0.5028712
435.5143,26.09759,0.4993546
433.5519,26.09759,0.5485868
438.1155,25.47622,0.5441911
438.5024,26.09759,0.5564991
439.9538,26.09759,0.5494659
444.2925,26.09759,0.4782552
444.4016,26.09759,0.3964946
441.0059,24.85485,0.4044069
447.325,24.23348,0.3622079
443.7252,24.23348,0.1617628
